FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1131595	CD16-	CD16-	ANA811	555673
1131601	CD16+	CD16+	ANA811	555675
1131611	CD16+	CD16+	ANA811	555678
1131628	SLAN+	SLAN+	ANA906	555682
1131641	CD14+	CD14+	ANA804	555686
1131644	CD62L+	CD62L+	ANA712	555686
1131673	CD27+	CD27+	ANA40	555697
1131674	CD138+	CD138+	ANA891	555697
1131682	CD3-	CD3-	ANA809	555699
1131700	CD38+	CD38+	ANA808	555702
1131723	CD19+	CD19+	ANA805	555707
1131736	B7-2+	CD86+	ANA868	555709
1131738	CD3-	CD3-	ANA809	555710
1131740	CD27+	CD27+	ANA40	555710
1131755	CD19+	CD19+	ANA805	555713
1131771	BDCA2, CD303+	BDCA2+	ANA870	555716
1131775	HLADR+	HLA-DR+	ANA812	555717
1131782	CD11c-	CD11c-	ANA814	555718
1131783	CD40+	CD40+	ANA42	555718
1131786	BDCA2, CD303+	BDCA2+	ANA870	555719
1131789		Lin1-		555720
1131832	B7-2-	CD86-	ANA868	555728
1131833		Lin1-		555729
1131838	BDCA1+	CD1c+	ANA895	555729
1131874		Lin1-		555735
1131877	CD11c+	CD11c+	ANA814	555735
1131900	CD2+	CD2+	ANA860	555738
1131901		Lin1-		555739
1131902	HLADR+	HLA-DR+	ANA812	555739
1131912	BDCA3+	BDCA3+	ANA894	555740
1131926	BDCA3+	BDCA3+	ANA894	555742
1131932	CD3+	CD3+	ANA809	555745
1131961	CD278+	ICOS+	ANA898	555751
1131965	CXCR5+	CXCR5+	ANA78	555752
1131974	CXCR3+	CXCR3+	ANA76	555753
1131978	CD4+	CD4+	ANA41	555754
1131990	CXCR3+	CXCR3+	ANA76	555755
1131992	CD3+	CD3+	ANA809	555756
1131998	CCR6+	CCR6+	ANA36	555756
1132006	CCR6+	CCR6+	ANA36	555757
1132018	CXCR5+	CXCR5+	ANA78	555759
1132021	CCR6+	CCR6+	ANA36	555759
1132023	CD3+	CD3+	ANA809	555760
1132030	CD278+	ICOS+	ANA898	555760
1132032	CD4+	CD4+	ANA41	555761
1132040	CD8-	CD8-	ANA810	555762
1132042	CD45RA-	CD45RA-	ANA816	555762
1132043	CXCR3-	CXCR3-	ANA76	555762
1132047	CD4+	CD4+	ANA41	555763
1132065	CD3+	CD3+	ANA809	555766
1132089	CXCR5-	CXCR5-	ANA78	555769
1132099	CXCR3+	CXCR3+	ANA76	555770
1132131	HLADR+	HLA-DR+	ANA812	555774
1132134	CD8-	CD8-	ANA810	555775
1132152	CXCR3-	CXCR3-	ANA76	555777
1132167	CD4-	CD4-	ANA41	555780
1132171	CD4-	CD4-	ANA41	555781
1132190	CD40+	CD40+	ANA42	555786
1132205	CD16-	CD16-	ANA811	555791
1132207	CD14+	CD14+	ANA804	555792
1132222	CD11b+	CD11b+	ANA878	555795
1132225	CD16+	CD16+	ANA811	555796
1132231	CD14+	CD14+	ANA804	555798
1132233	CD16-	CD16-	ANA811	555798
1132239	HLADRhi	HLA-DRhi	ANA812	555800
1132269	CD16+	CD16+	ANA811	555808
1132284	HLADR+	HLA-DR+	ANA812	555812
1132290	CD62L-	CD62L-	ANA712	555813
1132293	CD16-	CD16-	ANA811	555814
1132308	CD19+	CD19+	ANA805	555822
1132309	CD3-	CD3-	ANA809	555822
1132317	CD19+	CD19+	ANA805	555824
1132339	CD19+	CD19+	ANA805	555828
1132342	CD38+	CD38+	ANA808	555828
1132348	CD27-	CD27-	ANA40	555829
1132355	CD19+	CD19+	ANA805	555831
1132362	CD14-	CD14-	ANA804	555832
1132367	CD14-	CD14-	ANA804	555833
1132402	CD19+	CD19+	ANA805	555840
1132409	BDCA2, CD303+	BDCA2+	ANA870	555841
1132419	CD11c-	CD11c-	ANA814	555843
1132422	HLADR+	HLA-DR+	ANA812	555844
1132423	BDCA2, CD303+	BDCA2+	ANA870	555844
1132427	HLADR+	HLA-DR+	ANA812	555845
1132430	CD40-	CD40-	ANA42	555845
1132459	CD40+	CD40+	ANA42	555851
1132463	CD11c+	CD11c+	ANA814	555852
1132477	BDCA2, CD303-	BDCA2-	ANA870	555855
1132478	CD11c+	CD11c+	ANA814	555855
1132497	BDCA2, CD303-	BDCA2-	ANA870	555858
1132501	CD40+	CD40+	ANA42	555858
1132505	CD11c+	CD11c+	ANA814	555859
1132506	BDCA3-	BDCA3-	ANA894	555859
1132508	CD40-	CD40-	ANA42	555859
1132509		Lin1-		555860
1132516		Lin1-		555861
1132521	BDCA1+	CD1c+	ANA895	555861
1132536		Lin1-		555864
1132537	HLADR+	HLA-DR+	ANA812	555864
1132542	CD2+	CD2+	ANA860	555864
1132544	HLADR+	HLA-DR+	ANA812	555865
1132552	BDCA2, CD303-	BDCA2-	ANA870	555866
1132553	CD11c+	CD11c+	ANA814	555866
1132581	CD8-	CD8-	ANA810	555873
1132582	HLADR+	HLA-DR+	ANA812	555873
1132594	CD8-	CD8-	ANA810	555876
1132596	CD45RA-	CD45RA-	ANA816	555876
1132599	CD4+	CD4+	ANA41	555877
1132602	CD45RA-	CD45RA-	ANA816	555877
1132606	CD8-	CD8-	ANA810	555878
1132618	HLADR+	HLA-DR+	ANA812	555879
1132623	CD45RA-	CD45RA-	ANA816	555880
1132632	CXCR3+	CXCR3+	ANA76	555881
1132645	CXCR5+	CXCR5+	ANA78	555883
1132646	CD45RA-	CD45RA-	ANA816	555883
1132650	CD3+	CD3+	ANA809	555884
1132670	CXCR3-	CXCR3-	ANA76	555886
1132679	CCR6-	CCR6-	ANA36	555887
1132680	CD3+	CD3+	ANA809	555888
1132684	CD45RA-	CD45RA-	ANA816	555888
1132689	CD4+	CD4+	ANA41	555889
1132690	CD8-	CD8-	ANA810	555889
1132702	CD4+	CD4+	ANA41	555891
1132706	HLADR+	HLA-DR+	ANA812	555891
1132715	CD8-	CD8-	ANA810	555893
1132719	CCR6-	CCR6-	ANA36	555893
1132726	CCR6-	CCR6-	ANA36	555894
1132732	CD45RA-	CD45RA-	ANA816	555895
1132736	CD3+	CD3+	ANA809	555896
1132746	CXCR5-	CXCR5-	ANA78	555897
1132747	CD45RA-	CD45RA-	ANA816	555897
1132757	CCR6+	CCR6+	ANA36	555898
1132764	CXCR3-	CXCR3-	ANA76	555899
1132769	CXCR5-	CXCR5-	ANA78	555900
1132772	CCR6+	CCR6+	ANA36	555900
1132785	CXCR5-	CXCR5-	ANA78	555902
1132792	CXCR5-	CXCR5-	ANA78	555903
1132799	CD8-	CD8-	ANA810	555904
1132804	CD278+	ICOS+	ANA898	555904
1132806	CD4-	CD4-	ANA41	555905
1132811	CCR6+	CCR6+	ANA36	555906
1132824	CD3+	CD3+	ANA809	555910
1132828	CD14+	CD14+	ANA804	555911
1132832	CD40+	CD40+	ANA42	555912
1132835	CD16+	CD16+	ANA811	555913
1132851	CD16+	CD16+	ANA811	555918
1132854	HLADR+	HLA-DR+	ANA812	555919
1132880	CD14+	CD14+	ANA804	555926
1132889	CD14+	CD14+	ANA804	555929
1132890	HLADR+	HLA-DR+	ANA812	555929
1132913	CD14+	CD14+	ANA804	555935
1132923	CD16-	CD16-	ANA811	555937
1132926	HLADR+	HLA-DR+	ANA812	555938
1132936	CD62L-	CD62L-	ANA712	555940
1132940	CD16+	CD16+ granulocyte	ANA811	555944
1132944	CD3-	CD3-	ANA809	555946
1132952	CD14-	CD14-	ANA804	555948
1132963	CD138+	CD138+	ANA891	555950
1132967	CD14-	CD14-	ANA804	555951
1132968	CD38+	CD38+	ANA808	555951
1132969	CD20-	CD20-	ANA806	555951
1132974	CD20-	CD20-	ANA806	555952
1133000	CD27+	CD27+	ANA40	555957
1133007	CD19+	CD19+	ANA805	555959
1133008	CD3-	CD3-	ANA809	555959
1133009	CD14-	CD14-	ANA804	555959
1133019	IgD+	IgD+	ANA813	555961
1133029	CD14-	CD14-	ANA804	555963
1133033	CD19+	CD19+	ANA805	555964
1133035	CD14-	CD14-	ANA804	555964
1133039	CD19+	CD19+	ANA805	555965
1133059	HLADR+	HLA-DR+	ANA812	555969
1133070	BDCA2, CD303+	BDCA2+	ANA870	555971
1133089	BDCA2, CD303-	BDCA2-	ANA870	555975
1133096	CD2+	CD2+	ANA860	555976
1133097		Lin1-		555977
1133099	BDCA2, CD303-	BDCA2-	ANA870	555977
1133111	B7-2+	CD86+	ANA868	555979
1133114	BDCA2, CD303-	BDCA2-	ANA870	555980
1133129	CD2-	CD2-	ANA860	555982
1133160	BDCA2, CD303-	BDCA2-	ANA870	555987
1133170	BDCA1-	CD1c-	ANA895	555988
1133181	CD11c+	CD11c+	ANA814	555990
1133197	BDCA1-	CD1c-	ANA895	555992
1133210	BDCA3+	BDCA3+	ANA894	555994
1133216	CD3+	CD3+	ANA809	555997
1133227	CD8-	CD8-	ANA810	556000
1133234	CD3+	CD3+	ANA809	556002
1133236	CD8-	CD8-	ANA810	556002
1133264	CXCR5+	CXCR5+	ANA78	556006
